registration_key,source_name,source_path,source_pixel_size_y,source_pixel_size_x,source_pixel_unit,source_shape,source_image_height,source_image_width,converted_name,converted_path,converted_pixel_size_y,converted_pixel_size_x,converted_pixel_unit,converted_shape,converted_image_height,converted_image_width,keep_original_resolution,status,source_image_id,last_updated
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au sphere_0012.dm4,Au sphere_0012.dm4,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au sphere_0012.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,0645c40c71_r002_c002.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\0645c40c71_r002_c002.png,0.3959772288799286,0.3959772288799286,nm,"(512, 512)",512,512,True,selected_folder,0645c40c71,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au sphere_0012.dm4,Au sphere_0012.dm4,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au sphere_0012.dm4,0.3959772288799286,0.3959772288799286,nm,"(2048, 2048)",2048,2048,0645c40c71_r002_c003.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\0645c40c71_r002_c003.png,0.3959772288799286,0.3959772288799286,nm,"(512, 512)",512,512,True,selected_folder,0645c40c71,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A242-40k-1.dm3,Au rod A242-40k-1.dm3,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A242-40k-1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A242-40k-1_df3db2f91b.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A242-40k-1_df3db2f91b.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,selected_folder,df3db2f91b,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A242-40k-3.dm3,Au rod A242-40k-3.dm3,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A242-40k-3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A242-40k-3_a3588fcaf4.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A242-40k-3_a3588fcaf4.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,selected_folder,a3588fcaf4,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A301-10k.dm4,Au rod A301-10k.dm4,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A301-10k.dm4,0.15993204712867737,0.15993204712867737,nm,"(2048, 2048)",2048,2048,Au rod A301-10k_89c0991ab9.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A301-10k_89c0991ab9.png,0.6397281885147095,0.6397281885147095,nm,"(512, 512)",512,512,False,selected_folder,89c0991ab9,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A301-6k-2.dm4,Au rod A301-6k-2.dm4,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A301-6k-2.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-2_04b3650249.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A301-6k-2_04b3650249.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,selected_folder,04b3650249,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A301-6k-3.dm4,Au rod A301-6k-3.dm4,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A301-6k-3.dm4,0.26540565490722656,0.26540565490722656,nm,"(2048, 2048)",2048,2048,Au rod A301-6k-3_2f41064b4d.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A301-6k-3_2f41064b4d.png,1.0616226196289062,1.0616226196289062,nm,"(512, 512)",512,512,False,selected_folder,2f41064b4d,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A389-40k-1.dm3,Au rod A389-40k-1.dm3,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A389-40k-1.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-1_d4d8ab5399.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A389-40k-1_d4d8ab5399.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,selected_folder,d4d8ab5399,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A389-40k-3.dm3,Au rod A389-40k-3.dm3,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A389-40k-3.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-3_465884e609.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A389-40k-3_465884e609.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,selected_folder,465884e609,2026-05-19T21:16:20
C:\work\Lyu\Image segmentation\Image segmentation\Au rod::Au rod A389-40k-5.dm3,Au rod A389-40k-5.dm3,C:\work\Lyu\Image segmentation\Image segmentation\Au rod\Au rod A389-40k-5.dm3,0.23401901125907898,0.23401901125907898,nm,"(2048, 2048)",2048,2048,Au rod A389-40k-5_32ec7af313.png,C:\work\Lyu\Image segmentation\Image segmentation\converted_images\Au rod\selected_images\Au rod A389-40k-5_32ec7af313.png,0.9360760450363159,0.9360760450363159,nm,"(512, 512)",512,512,False,selected_folder,32ec7af313,2026-05-19T21:16:20
